GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ID_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,HOME_WIN,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,OREB_HOME,OREB_AWAY,DREB_HOME,DREB_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_AWAY,MIN_HOME,MIN_AWAY
22200036,2022-10-22,1610612758,1610612746,Sacramento Kings,LA Clippers,0,109,111,0.471,0.506,0.4,0.409,0.577,0.909,9,5,30,35,39,40,24,24,5,8,5,3,12,13,21,21,-2.0,2.0,239,241
22200029,2022-10-22,1610612754,1610612765,Indiana Pacers,Detroit Pistons,1,124,115,0.437,0.389,0.381,0.429,0.75,0.767,20,17,39,36,59,53,28,26,7,5,15,3,11,13,21,20,9.0,-9.0,240,238
22200038,2022-10-23,1610612737,1610612766,Atlanta Hawks,Charlotte Hornets,0,109,126,0.411,0.522,0.229,0.423,0.821,0.7,16,14,29,38,45,52,23,28,8,7,9,6,12,13,21,24,-17.0,17.0,240,240
22200043,2022-10-23,1610612746,1610612756,LA Clippers,Phoenix Suns,0,95,112,0.439,0.462,0.281,0.357,0.7,0.917,9,13,34,36,43,49,16,29,10,5,0,3,14,12,18,18,-17.0,17.0,240,240
22200037,2022-10-23,1610612747,1610612757,Los Angeles Lakers,Portland Trail Blazers,0,104,106,0.446,0.44,0.182,0.37,0.8,0.815,10,13,30,39,40,52,26,19,9,6,9,5,13,19,24,20,-2.0,2.0,241,239
22200039,2022-10-23,1610612739,1610612764,Cleveland Cavaliers,Washington Wizards,1,117,107,0.427,0.494,0.394,0.429,0.88,0.6,16,4,32,31,48,35,19,25,10,9,5,4,13,18,20,24,10.0,-10.0,266,265
22200042,2022-10-23,1610612744,1610612758,Golden State Warriors,Sacramento Kings,1,130,125,0.517,0.47,0.424,0.256,0.722,0.8,6,13,31,38,37,51,24,31,7,10,5,2,13,16,21,29,5.0,-5.0,240,240
22200041,2022-10-23,1610612760,1610612750,Oklahoma City Thunder,Minnesota Timberwolves,0,106,116,0.436,0.523,0.22,0.294,0.714,0.636,11,12,31,42,42,54,24,24,7,9,4,3,11,15,15,17,-10.0,10.0,240,239
22200040,2022-10-23,1610612740,1610612762,New Orleans Pelicans,Utah Jazz,0,121,122,0.471,0.439,0.296,0.342,0.773,0.821,14,15,31,29,45,44,30,29,8,13,6,6,17,16,22,20,-4.0,4.0,266,264
22200045,2022-10-24,1610612748,1610612761,Miami Heat,Toronto Raptors,0,90,98,0.349,0.395,0.235,0.438,0.889,0.8,8,10,38,42,46,52,19,22,5,6,3,6,12,12,15,22,-8.0,8.0,240,242
22200048,2022-10-24,1610612745,1610612762,Houston Rockets,Utah Jazz,1,114,108,0.422,0.473,0.314,0.344,0.844,0.563,17,18,30,31,47,49,17,23,7,8,7,10,15,20,20,27,6.0,-6.0,242,239
22200046,2022-10-24,1610612752,1610612753,New York Knicks,Orlando Magic,1,115,102,0.462,0.419,0.297,0.2,0.72,0.852,18,13,32,28,50,41,24,14,7,6,3,4,13,12,24,23,13.0,-13.0,240,240
22200051,2022-10-24,1610612757,1610612743,Portland Trail Blazers,Denver Nuggets,1,135,110,0.578,0.495,0.457,0.387,0.742,0.571,9,10,36,28,45,38,23,28,3,4,6,1,8,8,15,28,25.0,-25.0,241,242
22200047,2022-10-24,1610612741,1610612738,Chicago Bulls,Boston Celtics,1,120,102,0.483,0.37,0.476,0.375,0.897,0.833,14,14,46,31,60,45,29,26,4,5,6,7,13,10,18,24,18.0,-18.0,240,237
22200049,2022-10-24,1610612763,1610612751,Memphis Grizzlies,Brooklyn Nets,1,134,124,0.5,0.54,0.471,0.31,0.774,0.808,12,9,26,26,38,35,21,27,7,4,3,7,8,11,22,30,10.0,-10.0,239,241
22200050,2022-10-24,1610612750,1610612759,Minnesota Timberwolves,San Antonio Spurs,0,106,115,0.442,0.457,0.258,0.324,0.917,0.538,10,14,40,36,50,50,24,37,7,11,5,0,16,13,18,21,-9.0,9.0,239,240
22200044,2022-10-24,1610612755,1610612754,Philadelphia 76ers,Indiana Pacers,1,120,106,0.475,0.422,0.442,0.273,0.893,0.783,7,14,32,33,39,47,25,27,8,3,7,4,7,13,20,23,14.0,-14.0,240,240
22200052,2022-10-25,1610612764,1610612765,Washington Wizards,Detroit Pistons,1,120,99,0.518,0.409,0.303,0.286,0.846,0.76,9,11,38,30,47,41,26,12,7,6,7,1,11,13,21,26,21.0,-21.0,241,238
